Username,Comment Time,Comment Content
多喝热水少做梦=3=(tongton9),09:31,[-爱心][-爱心][-爱心][-爱心]
多喝热水少做梦=3=(tongton9),09:31,中奖了
尧尧妈妈(yuyanguolijuan),09:31,开心
青青(qinye0725),09:31,西姐家买了600行吗
多喝热水少做梦=3=(tongton9),09:31,af粉色s你试试
青青(qinye0725),09:32,串场行吗
小脚丫安安(liuxm1),09:32,今天怎么抽奖了[-哈哈哈]
多喝热水少做梦=3=(tongton9),09:32,妹妹砸
多喝热水少做梦=3=(tongton9),09:32,今天大概率陪跑了
run坨坨(chao5309),09:32,妹纸，我拍了84和47，妹纸能不能优惠一下
青青(qinye0725),09:33,我每天都来看你啊
run坨坨(chao5309),09:33,66
小狐狸a01(小狐狸a01),09:33,65号都剩小码了？
多喝热水少做梦=3=(tongton9),09:33,今天都没啥合适的码数[-忧伤][-忧伤][-忧伤][-悲泣]
小脚丫安安(liuxm1),09:33,今天怎么抽奖了
luxury(会吐泡泡的螃蟹),09:34,67胸围多少？
yangdashou(ggjswy),09:34,lulu男士799的cross chill黑色外套能上不？
run坨坨(chao5309),09:34,那你现在抽？
多喝热水少做梦=3=(tongton9),09:35,666
run坨坨(chao5309),09:35,66
run坨坨(chao5309),09:35,我卡住了
多喝热水少做梦=3=(tongton9),09:35,你给找点小码 全是大码赔跑了一早上[-痛哭]
多喝热水少做梦=3=(tongton9),09:36,[-哈哈哈][-哈哈哈]
多喝热水少做梦=3=(tongton9),09:37,粉色几号链接
昵称198(syysyr123),09:37,身上几号？
多喝热水少做梦=3=(tongton9),09:37,[-痛哭]那扎办呐
多喝热水少做梦=3=(tongton9),09:37,小码好少[-剁手][-剁手][-剁手]
多喝热水少做梦=3=(tongton9),09:38,47
昵称198(syysyr123),09:39,什么面料？
多喝热水少做梦=3=(tongton9),09:40,[-痛哭]
杰夫(wuxiangfei5713),09:44,多大码
run坨坨(chao5309),09:45,妹纸，刚刚说的那个优惠给我来一下呗[-花痴]
熊小垃的主人(不容恋栈),09:46,穿到多少斤
熊小垃的主人(不容恋栈),09:47,写的男生啊
璀璨星空(薇琪的小铺子),09:49,83号胸围多少
尧尧妈妈(yuyanguolijuan),09:50,68我已经买了，能穿到多少斤
璀璨星空(薇琪的小铺子),09:50,刚看讲解你穿挺好的
璀璨星空(薇琪的小铺子),09:50,你胸围多少
璀璨星空(薇琪的小铺子),09:51,不像88的多丰满
璀璨星空(薇琪的小铺子),09:57,我喜欢那个紫色的
璀璨星空(薇琪的小铺子),09:57,怕小
璀璨星空(薇琪的小铺子),09:57,缩水不
欧阳(job100ouyang),09:58,妹妹，帽子好看
欧阳(job100ouyang),09:58,哈佛的呀，有点不敢带
璀璨星空(薇琪的小铺子),09:59,紫色秒一个试试
欧阳(job100ouyang),09:59,棉的只会越穿越大
璀璨星空(薇琪的小铺子),10:00,我怕洗碗小了就穿不下了
多喝热水少做梦=3=(tongton9),10:01,给留个赠品
二细拉粗点儿(二细拉粗点儿),10:01,刚来
多喝热水少做梦=3=(tongton9),10:01,妹砸白白
二细拉粗点儿(二细拉粗点儿),10:02,咋就走了
璀璨星空(薇琪的小铺子),10:02,分我一个赠品呗
璀璨星空(薇琪的小铺子),10:02,我刚拍的
璀璨星空(薇琪的小铺子),10:03,你抽太快了我还没买
二细拉粗点儿(二细拉粗点儿),10:03,快回去睡觉吧
