Username,Comment Time,Comment Content
用户_24780568(cucucucucucu),19:21,xl胸围多少
透明的甘草片片(甘草片9209),19:21,这么便宜？
静夜听琴(静夜听琴fxy),19:22,还有吗没抢到
毛爱丽丝(无法走出小清风的霸王花),19:22,裤子我的了
用户_24780568(cucucucucucu),19:22,怎么买
run坨坨(chao5309),19:22,地摊货这个价也不一定买得到
毛爱丽丝(无法走出小清风的霸王花),19:22,男生可以穿吧
爱吃三丝一果的冰沙04(qq2041419),19:22,紫红色的什么码？
静夜听琴(静夜听琴fxy),19:22,唉总是抢不到
用户_24780568(cucucucucucu),19:23,要深蓝
毛爱丽丝(无法走出小清风的霸王花),19:23,深灰色和蓝色要
爱吃三丝一果的冰沙04(qq2041419),19:23,有L码？
霸气的粒子(tb1526733_2011),19:23,红色
霸气的粒子(tb1526733_2011),19:23,要红色
用户_24780568(cucucucucucu),19:23,谢谢
毛爱丽丝(无法走出小清风的霸王花),19:24,蓝色好了
毛爱丽丝(无法走出小清风的霸王花),19:24,可以当裙子穿
霸气的粒子(tb1526733_2011),19:24,165什么好能盖PP
透明的甘草片片(甘草片9209),19:24,买不到
毛爱丽丝(无法走出小清风的霸王花),19:24,深灰色继续
霸气的粒子(tb1526733_2011),19:24,165什么码能盖PP
爱吃三丝一果的冰沙04(qq2041419),19:24,红色L上一下
毛爱丽丝(无法走出小清风的霸王花),19:24,蓝色配刚刚的lulu
透明的甘草片片(甘草片9209),19:24,是呀
卡宝暖宝(cllcht),19:24,@霸气的粒子 小码就可以盖住
霸气的粒子(tb1526733_2011),19:24,@卡宝暖宝 谢谢
透明的甘草片片(甘草片9209),19:25,抢到了✌️
霸气的粒子(tb1526733_2011),19:25,要加大红色
毛爱丽丝(无法走出小清风的霸王花),19:25,深灰色继续
霸气的粒子(tb1526733_2011),19:25,XL红色
卡宝暖宝(cllcht),19:25,今天冠军火了
霸气的粒子(tb1526733_2011),19:26,对深红
透明的甘草片片(甘草片9209),19:26,再要个军绿色的
霸气的粒子(tb1526733_2011),19:26,深红色
阿庸阿庸啊哈哈哈哈(vangothic),19:27,深红色
爱吃三丝一果的冰沙04(qq2041419),19:28,红色L上
茶茶(慢世茶茶),19:28,灰色
透明的甘草片片(甘草片9209),19:28,军绿色上个
再喝一杯水(scs9044),19:28,40?
霸气的粒子(tb1526733_2011),19:28,✌️抢到了
卡宝暖宝(cllcht),19:28,@再喝一杯水 对，40
爱奇逸(瓶木树11),19:29,还有别的颜色么？
毛爱丽丝(无法走出小清风的霸王花),19:29,绿色来
透明的甘草片片(甘草片9209),19:29,军绿色还没上吧？
爱奇逸(瓶木树11),19:29,深蓝色
毛爱丽丝(无法走出小清风的霸王花),19:29,浅灰色要
毛爱丽丝(无法走出小清风的霸王花),19:30,小码什么胸围
夏天的风(delia048),19:30,白色的是什么
乂爻(wcpmm),19:30,今天有中号和大码不？
毛爱丽丝(无法走出小清风的霸王花),19:30,上
毛爱丽丝(无法走出小清风的霸王花),19:31,浅灰色
霸气的粒子(tb1526733_2011),19:31,正红色还能加吗
毛爱丽丝(无法走出小清风的霸王花),19:31,绿色也抢大额
透明的甘草片片(甘草片9209),19:31,抢到了✌️
霸气的粒子(tb1526733_2011),19:31,L
毛爱丽丝(无法走出小清风的霸王花),19:31,浅灰色小码
毛爱丽丝(无法走出小清风的霸王花),19:31,要
夏天的风(delia048),19:31,白色衣服看看
茶茶(慢世茶茶),19:32,海军蓝看看
霸气的粒子(tb1526733_2011),19:32,正红色看看还有L吗
夏天的风(delia048),19:32,多钱
毛爱丽丝(无法走出小清风的霸王花),19:32,浅灰色也抢下了
卡宝暖宝(cllcht),19:33,有c姐穿的同款蓝条纹衬衫吗
毛爱丽丝(无法走出小清风的霸王花),19:33,今天网速给力，拍了4件不迪一件衣服价格
紫醉金迷6(babyunion),19:33,xl胸围多少啊
霸气的粒子(tb1526733_2011),19:34,拍了
霸气的粒子(tb1526733_2011),19:34,我是粒子
霸气的粒子(tb1526733_2011),19:34,哈哈
爱吃三丝一果的冰沙04(qq2041419),19:34,酒红色有L？
你很皮的哈(tb2535675),19:34,红色L胸围多少
茶茶(慢世茶茶),19:34,灰色看看
wxx__(wxx237706283),19:35,女的呢
茶茶(慢世茶茶),19:35,好看
夏天的风(delia048),19:35,还有拉链款吗
wxx__(wxx237706283),19:35,长度呢
你很皮的哈(tb2535675),19:35,红色L看看
wxx__(wxx237706283),19:36,灰色什么码数
wxx__(wxx237706283),19:36,有没有什么色有中码或小码
霸气的粒子(tb1526733_2011),19:36,分享了直播间
wxx__(wxx237706283),19:37,不想要圆领哎
wxx__(wxx237706283),19:37,圆领已经有了藏青色
wxx__(wxx237706283),19:37,灰色也挺好看，就是太大了
南橙北柚(lu_it),19:37,为啥全是红
你很皮的哈(tb2535675),19:38,怎么下架了
wxx__(wxx237706283),19:38,红色在卖的时候相对滞后
南橙北柚(lu_it),19:38,男的女的
wxx__(wxx237706283),19:38,这个蓝色什么码数
小头狐狸她妹(神秘佳人姝),19:38,红色圆领上
伊舒飞婷1023(伊舒飞婷),19:38,XL胸围多少
地半仙(nanjiqie999),19:39,最近没见到别的衣服
你很皮的哈(tb2535675),19:39,红色L是戴帽子的是吧
伊舒飞婷1023(伊舒飞婷),19:39,就那个价？
地半仙(nanjiqie999),19:39,别的衣服什么码
地半仙(nanjiqie999),19:40,白色衬衫
你很皮的哈(tb2535675),19:40,L是毛圈的吗 里面
你很皮的哈(tb2535675),19:40,那真的挺值了 40块钱
地半仙(nanjiqie999),19:40,这个料子不错 可以穿不了
茶茶(慢世茶茶),19:41,试下加大
爱吃三丝一果的冰沙04(qq2041419),19:41,酒红色xL你穿一下
茶茶(慢世茶茶),19:41,海军蓝
爱吃三丝一果的冰沙04(qq2041419),19:41,连帽
米拉米拉(妖珥的梦),19:42,外套多少
爱跑步的小飞鹰(tb1361611),19:42,这是什么白色
苏_苏Sue(苏苏泰国代购),19:42,看看白色衬衣
齐齐(周江思齐),19:43,有没有短袖
酒夜颜色(酒夜颜色),19:43,后面半拉链是男款女款
wxx__(wxx237706283),19:44,神马码数
wxx__(wxx237706283),19:44,你上身看看
wxx__(wxx237706283),19:44,老白衬衫
wxx__(wxx237706283),19:44,后面白衬衫上身
wxx__(wxx237706283),19:44,白衬衫码数呢
爱跑步的小飞鹰(tb1361611),19:45,衬衫什么码
wxx__(wxx237706283),19:45,主播身高体重
爱跑步的小飞鹰(tb1361611),19:45,牛津纺吗
wxx__(wxx237706283),19:45,多少价格
齐齐(周江思齐),19:45,黑色的鞋看看
wxx__(wxx237706283),19:45,上
wxx__(wxx237706283),19:46,看价格先
wxx__(wxx237706283),19:46,相差不大就是算了
wxx__(wxx237706283),19:46,给姐妹们了
景昱弈森(cronin),19:46,什么码？
wxx__(wxx237706283),19:46,小码
米拉米拉(妖珥的梦),19:46,外套价格
wxx__(wxx237706283),19:46,419的价格
米拉米拉(妖珥的梦),19:47,上~
米拉米拉(妖珥的梦),19:48,拍啦
七七(ezhu0000),19:49,裤子看看
齐齐(周江思齐),19:49,旁边黑色的是什么
诺儿8888(jinshanduolovena),19:50,！
齐齐(周江思齐),19:50,不是鞋么
齐齐(周江思齐),19:50,看错了
小头狐狸她妹(神秘佳人姝),19:51,多少钱
小头狐狸她妹(神秘佳人姝),19:52,上
波妞开心笑(我爱可爱小白猪),19:54,什么瑕疵
strong施(strongbabys),19:56,关注了主播
大奖(jyanqun),19:57,有大水壶吗
小头狐狸她妹(神秘佳人姝),19:57,露露还有裤子吗
小头狐狸她妹(神秘佳人姝),19:58,露露裤子
小头狐狸她妹(神秘佳人姝),19:58,瑜伽裤
小头狐狸她妹(神秘佳人姝),19:58,有黑色吗
伊舒飞婷1023(伊舒飞婷),19:59,冠军L胸围多少
伊舒飞婷1023(伊舒飞婷),20:00,XL比L大那么多啊
毛爱丽丝(无法走出小清风的霸王花),20:01,3号链接能看看吗
毛爱丽丝(无法走出小清风的霸王花),20:03,可以拆新货了
毛爱丽丝(无法走出小清风的霸王花),20:04,我准备冠军当冬天睡衣了
